Code_Name	Produce List Name	Building Name	X-size	Y-size	Owner	Hit	Armor	Border	Common	Rare Ore	Structure	Building	Normal	Rare Ore	Power	Workers	Scientists	Sight	Docking:	Docking:	Docking:	Docking:	Docking	Docking	Storage	Production	Storage	Can be	Explosion	Resource	Research
					P/E/B	Points	Class	Y/N	Ore Cost	Cost	Kit	Points	Rubble	Rubble	required	required	required	range	All	Truck	CV	Evac	Loc E	Loc P	Capacity	Capacity	Bays	AutoTargeted	Size	priority	Topic
COMMAND	a	a	3	2	B	2500	5	Y	1800	0	Y	2200	6	0	0	4	1	8	N	N	N	N			0	50	0	N	0	1	02103
TOKAMAK	b	b	2	2	B	1500	5	N	1250	0	Y	1100	3	0	0	0	0	5	N	N	N	N			0	250	0	Y	1	2	02112
ASE	c	c	2	2	P	1250	4	N	800	400	Y	1000	2	1	0	0	0	5	N	N	N	N			0	400	0	Y	1	3	05107
GEOTHERMAL	d 	d 	2	1	E	1000	4	N	800	0	N	800	2	0	0	0	0	5	N	N	N	N			0	650	0	Y	1	4	05115
SOLAR	e	e	3	2	B	875	0	N	200	200	Y	500	1	1	0	0	0	5	N	N	N	N			0	600	0	Y	0	5	10204
FACT_STRUCTURE	f	f	4	3	B	2000	5	Y	1600	0	Y	2000	6	0	50	4	0	5	N	N	Y	N	4	1	0	128	6	Y	0	6	02104
TOWER_GUARD	g	g	1	1	B	750	4	Y	100	0	Y	250	1	0	10	0	0	9	N	N	N	N			0	0	0	Y	2	7	03801
SMELTER	h	h	4	3	B	2000	5	Y	2000	0	Y	2000	5	0	50	3	0	6	N	Y	N	N	4	4	10000	0	0	Y	0	8	02110
STORAGE_ORE	i	i	1	2	B	500	0	Y	250	0	Y	150	1	0	10	1	0	5	N	Y	N	N	1	1	5000	0	0	Y	0	9	02111
LAB_ADV	j	j	3	3	B	1500	4	Y	1800	0	Y	1800	4	0	50	1	0	5	N	N	N	N			0	0	0	Y	3	10	05104
LAB_STANDARD	k	k	3	2	B	1250	2	Y	1500	0	Y	1500	3	0	50	1	0	5	N	N	N	N			0	0	0	Y	0	11	03101
LAB	l	l	2	2	B	1000	2	Y	1200	0	Y	1200	3	0	30	1	0	5	N	N	N	N			0	0	0	Y	0	12	02106
SMELTER_ADV	m	m	4	3	B	2000	4	Y	2500	0	Y	2500	6	0	50	3	0	5	N	Y	N	N	4	1	10000	0	0	Y	0	13	05501
STORAGE_RARE	n	n	1	2	B	500	0	Y	250	0	Y	150	1	0	10	1	0	5	N	Y	N	N	1	1	5000	0	0	Y	0	14	05502
FACT_VEHICLE	o	o	4	3	B	3000	4	Y	2000	0	Y	1750	5	0	50	3	0	5	N	N	N	N			0	128	0	Y	0	15	03502
UNIVERSITY	p	p	2	2	B	1125	2	Y	750	0	Y	500	2	0	20	0	2	5	N	N	N	N			5000	10	0	N	0	16	03305
NURSERY	q	q	2	2	B	1125	2	Y	500	0	Y	500	1	0	20	1	1	5	N	N	N	N			0	0	0	N	0	17	03304
AGRIDOME	r	r	3	2	B	1000	2	Y	600	0	Y	300	1	0	20	1	0	5	N	Y	N	N	1	1	0	40	0	N	0	18	02101
ROBOT_COMMAND	s	s	2	2	B	2000	4	Y	1500	0	Y	1500	3	0	30	1	0	5	N	N	N	N			0	0	0	Y	0	19	03501
SPACEPORT	t	t	5	4	B	2000	4	Y	3000	500	Y	3000	7	1	40	4	2	5	N	Y	N	N	1	5	0	128	6	Y	3	20	05405
