Code_Name	Space Object Name	Owner	Common	Rare Ore	Build	Research
		(P/E/B)	Ore Cost	Cost	Time	Topic
EDWARD	a	B	1500	200	750	05504
SOLAR_SAT	b	B	500	100	750	10204
SPACE_1	c	B	1750	450	800	08801
SPACE_2	d	B	1875	563	800	08901
SPACE_3	e	B	600	675	800	10202
SPACE_4	f	B	900	450	800	08951
SPACE_5	g	B	450	863	1000	10205
SPACE_6	h	B	2100	675	1000	10206
SPACE_7	i 	B	900	563	1200	08601
SPACE_8	j	B	900	675	1200	10208
SPACE_9	k	B	1125	863	1200	10209
SPACE_10	l	B	600	900	1500	10401
SPACE_11	m	B	0	7500	500	00000
SPACE_12	n	B	7500	0	500	00000
SPACE_13	o	B	0	0	500	00000
SPACE_14	p	B	0	0	500	12599
SPACE_15	q	B	0	0	500	12499
SULV	r	B	1000	500	750	05503
RLV	s 	E	5000	3000	1200	10101
EMP_MISSILE	t	P	2000	800	1200	12201
LUX_1	u	B	150	0	800	00000
LUX_2	v	B	500	0	1200	00000
LUX_3	w	B	800	250	1800	00000
