Code_Name	Weapon Name	Damage	Pixels Skipped	Weapon	Turret Turn	Owner	Concussion	Penetration	Common	Rare Ore	Build	Reload	Research
		Radius	When Firing	Range in tiles	Rate	P/E/B/G	Damage	Damage	Ore Cost	Cost	Time	Time	Topic
LASER	a	16	0	4	11	E	0	40	450	0	15	35	03602
MICROWAVE	b	16	0	4	11	P	20	20	450	0	15	30	03603
FOAM	c 	16	64	5	6	P	0	100	600	0	5	90	05202
RAIL_GUN	d	16	0	6	3	E	80	40	850	0	15	80	05506
EMP	e	48	64	5	6	B	256	0	900	0	10	155	05508
CANNON	f	16	0	6	16	P	60	40	850	0	15	55	05602
TURRET_DESTRUCT	g	72	0	1	0	B	600	1200	850	0	20	100	07102
SELF_DESTRUCT	h	60	0	1	0	B	500	1000	850	0	20	100	07102
SPAM	i	48	64	5	2	P	40	40	900	100	5	255	07103
TURRET_DESTRUCT_ADV	j	112	0	1	0	P	1500	1200	1000	100	5	100	08203
SELF_DESTRUCT_ADV	k	96	0	1	0	P	1500	1200	1000	100	5	100	08203
ACID	l	64	96	6	9	E	15	10	950	200	10	150	08503
THORS_HAMMER	m	32	48	7	11	E	0	260	1200	300	5	120	10102
SCORPION_WEAPON	n	16	0	2	16	B	0	20	100	0	5	25	00000
EMP_BIG	o	320	0	0	0	P	225	0	0	0	0	0	00000
SHUTTLE	p	0	0	0	6	B	0	0	0	0	0	45	00000
MAGMA_VENT	q	0	0	0	0	G	0	0	0	0	0	0	00000
FUMAROLE	r	0	0	0	0	G	0	0	0	0	0	0	00000
BEACON	s	0	0	0	0	G	0	0	0	0	0	0	00000
AMBIENT_ANIM	t	0	0	0	0	B	0	0	0	0	0	45	00000
EARTHQUAKE	u	10	0	6	0	G	25	55	0	0	10	0	03201
ERUPTION	v	0	0	0	0	G	0	0	0	0	0	0	03202
LIGHTNING	w	96	0	0	0	G	80	170	0	0	5	50	05302
TORNADO	x	96	0	6	0	G	80	10	0	0	10	0	05303
METEOR	y	6	0	0	0	G	1200	600	300	0	0	0	08317
SCUTTLE_DESTRUCT	z	56	0	0	0	G	150	100	0	0	0	0	00000
BLD_EXPL_SML	0	96	0	0	0	G	750	750	0	0	0	0	00000
BLD_EXPL_MED	1	64	0	0	0	G	200	200	0	0	0	0	00000
BLD_EXPL_BIG	2	192	0	0	0	G	1500	1200	0	0	0	0	00000
